Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
